year,quarter,geo_type,geo_name,geo_pname,hover_over,reg_users,app_opens
2020,1,STA,andaman & nicobar islands,india,CON,28368,193586
2020,1,STA,haryana,india,CON,7018770,157793468
2020,1,STA,rajasthan,india,CON,12142053,341815756
2020,1,STA,ladakh,india,CON,47790,590484
2020,1,STA,punjab,india,CON,3739502,53853710
2020,1,STA,assam,india,CON,2185938,33097892
2020,1,STA,jharkhand,india,CON,3651393,74014713
2020,1,STA,odisha,india,CON,6652970,175918622
2020,1,STA,bihar,india,CON,9351234,183868505
2020,1,STA,kerala,india,CON,4078316,46396398
2020,1,STA,karnataka,india,CON,17016980,626488036
2020,1,STA,chandigarh,india,CON,312887,5201211
2020,1,STA,telangana,india,CON,12306860,454723816
2020,1,STA,himachal pradesh,india,CON,1106025,14640104
2020,1,STA,west bengal,india,CON,11960822,207068218
2020,1,STA,gujarat,india,CON,10259843,165605122
2020,1,STA,sikkim,india,CON,104631,1697163
2020,1,STA,nagaland,india,CON,107143,1684520
2020,1,STA,mizoram,india,CON,46499,644683
2020,1,STA,chhattisgarh,india,CON,3016487,64224101
2020,1,STA,jammu & kashmir,india,CON,735408,4476894
2020,1,STA,goa,india,CON,391900,7147233
2020,1,STA,arunachal pradesh,india,CON,149066,2598321
2020,1,STA,delhi,india,CON,7826197,178263986
2020,1,STA,uttarakhand,india,CON,1943606,32631265
2020,2,STA,puducherry,india,CON,255600,3057608
2020,2,STA,tamil nadu,india,CON,12150786,144907447
2020,2,STA,uttar pradesh,india,CON,22498519,383703534
2020,2,STA,madhya pradesh,india,CON,11374423,253770044
2020,2,STA,andhra pradesh,india,CON,14319675,494341698
2020,2,STA,tripura,india,CON,336666,4443221
2020,2,STA,lakshadweep,india,CON,3187,29202
2020,2,STA,manipur,india,CON,215496,3011491
2020,2,STA,maharashtra,india,CON,28765086,506354812
2020,2,STA,dadra & nagar haveli & daman & diu,india,CON,244814,4505127
2020,2,STA,meghalaya,india,CON,136211,2205253
2020,2,STA,andaman & nicobar islands,india,CON,32710,305072
2020,2,STA,haryana,india,CON,7682878,143650123
2020,2,STA,rajasthan,india,CON,13563201,329941181
2020,2,STA,ladakh,india,CON,53034,695673
2020,2,STA,punjab,india,CON,4225481,51289576
2020,2,STA,assam,india,CON,2550883,39304924
2020,2,STA,jharkhand,india,CON,4061035,76339276
2020,2,STA,odisha,india,CON,7258315,154682772
2020,2,STA,bihar,india,CON,10603767,218435035
2020,2,STA,kerala,india,CON,4728844,45832953
2020,2,STA,karnataka,india,CON,18655366,490510075
2020,2,STA,chandigarh,india,CON,336351,3451250
2020,2,STA,telangana,india,CON,13378191,367130505
2020,2,STA,himachal pradesh,india,CON,1249867,16125580
2020,2,STA,west bengal,india,CON,13222022,198589332
2020,2,STA,gujarat,india,CON,11392657,155264359
2020,2,STA,sikkim,india,CON,119921,1912335
2020,2,STA,nagaland,india,CON,130205,2119279
