year,quarter,geo_type,geo_name,geo_pname,hover_over,stat_type,count,amount
2018,4,STA,lakshadweep,india,CON,TOTAL,1642,4463213.698222831
2018,4,STA,manipur,india,CON,TOTAL,236110,605683559.3060112
2018,4,STA,maharashtra,india,CON,TOTAL,46090223,79518937047.82959
2018,4,STA,dadra & nagar haveli & daman & diu,india,CON,TOTAL,404082,658750616.8008878
2018,4,STA,meghalaya,india,CON,TOTAL,161132,337585679.0046732
2018,4,STA,andaman & nicobar islands,india,CON,TOTAL,23758,90548336.07445517
2018,4,STA,haryana,india,CON,TOTAL,12950183,25390876016.45502
2018,4,STA,rajasthan,india,CON,TOTAL,20959723,37909087083.33885
2018,4,STA,ladakh,india,CON,TOTAL,35211,135522842.4926374
2018,4,STA,punjab,india,CON,TOTAL,4887137,10781982573.64962
2018,4,STA,assam,india,CON,TOTAL,3734172,5888022859.01307
2018,4,STA,jharkhand,india,CON,TOTAL,6284043,10241916641.12223
2018,4,STA,odisha,india,CON,TOTAL,21142798,23429869571.55922
2018,4,STA,bihar,india,CON,TOTAL,15732401,28397997168.576233
2018,4,STA,kerala,india,CON,TOTAL,4310654,7747361236.8123
2018,4,STA,karnataka,india,CON,TOTAL,44812071,73008386576.05942
2018,4,STA,chandigarh,india,CON,TOTAL,905116,2032591591.779975
2018,4,STA,telangana,india,CON,TOTAL,28921154,49509088448.04927
2018,4,STA,himachal pradesh,india,CON,TOTAL,1307883,2621298968.139258
2018,4,STA,west bengal,india,CON,TOTAL,36513548,40489619211.704025
2018,4,STA,gujarat,india,CON,TOTAL,14733303,24830987102.78186
2018,4,STA,sikkim,india,CON,TOTAL,154533,383141358.0782537
2018,4,STA,nagaland,india,CON,TOTAL,139333,388013467.5456239
2018,4,STA,mizoram,india,CON,TOTAL,55242,190426852.5295295
2018,4,STA,chhattisgarh,india,CON,TOTAL,5365844,9416412664.971258
2018,4,STA,jammu & kashmir,india,CON,TOTAL,2721310,5664720265.697432
2018,4,STA,goa,india,CON,TOTAL,514755,1153005078.922405
2018,4,STA,arunachal pradesh,india,CON,TOTAL,176429,504040029.09176046
2018,4,STA,delhi,india,CON,TOTAL,29187719,39722857618.706436
2018,4,STA,uttarakhand,india,CON,TOTAL,3178761,5654272137.963843
2019,1,STA,puducherry,india,CON,TOTAL,501092,906473024.3065231
2019,1,STA,tamil nadu,india,CON,TOTAL,32275045,56204036816.12855
2019,1,STA,uttar pradesh,india,CON,TOTAL,57324504,76524180134.0167
2019,1,STA,madhya pradesh,india,CON,TOTAL,37301049,48070279522.042015
2019,1,STA,andhra pradesh,india,CON,TOTAL,57264522,83760595917.0792
2019,1,STA,tripura,india,CON,TOTAL,580926,756894941.6158216
2019,1,STA,lakshadweep,india,CON,TOTAL,2481,8786130.479338994
2019,1,STA,manipur,india,CON,TOTAL,265409,659898060.42408
2019,1,STA,maharashtra,india,CON,TOTAL,75079069,111420690920.3399
